rollout,naive_id_interval_coverage,stress_global_interval_coverage,distance_scaled_interval_coverage,selective_interval_coverage,always_predict_mae,selective_mae,acceptance_rate,ood_rejection_rate,in_domain_acceptance_rate,far_shift_global_coverage,far_shift_scaled_coverage,mean_global_interval_width,mean_scaled_interval_width,acceptance_threshold,id_half_width,global_half_width,scaled_base_half_width
26,0.5634615384615385,0.7211538461538461,0.9384615384615385,0.9433962264150944,0.15934560164256983,0.04408565697833529,0.20384615384615384,0.9875,0.8416666666666667,0.4909090909090909,0.9727272727272728,0.41196609748094914,0.818874228297133,0.7798819856466781,0.12722582541678967,0.20598304874047457,0.11649390822647299
27,0.49423076923076925,0.6673076923076923,0.9403846153846154,0.9130434782608695,0.17628770982132103,0.049220526069839496,0.22115384615384615,0.97,0.8583333333333333,0.41818181818181815,0.990909090909091,0.41632100790107596,0.8196401777588619,0.7660361051304266,0.11277422950302463,0.20816050395053798,0.11529877155711998
28,0.47692307692307695,0.7019230769230769,0.926923076923077,0.8571428571428571,0.16844714738901112,0.05209983684951153,0.2423076923076923,0.96,0.9166666666666666,0.4409090909090909,0.9454545454545454,0.41681028016718535,0.7813249447924401,0.8141458167692969,0.09724156122945848,0.20840514008359268,0.11477918207787925
29,0.46923076923076923,0.7269230769230769,0.8942307692307693,0.8317757009345794,0.16017377106610847,0.054255776771757955,0.20576923076923076,0.99,0.8583333333333333,0.4636363636363636,0.9636363636363636,0.4470158499446699,0.7691392382629245,0.7488629980040837,0.10065192918344557,0.22350792497233496,0.1038501770833883
30,0.4307692307692308,0.725,0.9076923076923077,0.8141592920353983,0.15849431708354852,0.049611455747936635,0.2173076923076923,0.9875,0.9,0.4590909090909091,0.9590909090909091,0.4300911117295516,0.7330822531598978,0.7957653069806173,0.09393068655961767,0.2150455558647758,0.10023047075497439
31,0.45,0.6346153846153846,0.9173076923076923,0.86,0.17478029036529397,0.05119197397856003,0.19230769230769232,0.99,0.8,0.32727272727272727,0.9954545454545455,0.3726285631058486,0.8515021151839453,0.750232864505096,0.10646591199185074,0.1863142815529243,0.10749673910566354
32,0.5038461538461538,0.775,0.9384615384615385,0.9098360655737705,0.16200820269620336,0.05056590162563241,0.23461538461538461,0.9575,0.875,0.5181818181818182,0.9636363636363636,0.5152728228110868,0.8027729367218193,0.8150882546487894,0.11205767248107312,0.2576364114055434,0.11246175477633043
33,0.49615384615384617,0.7211538461538461,0.9326923076923077,0.9021739130434783,0.1743279604853664,0.05074558907863362,0.17692307692307693,0.985,0.7166666666666667,0.4636363636363636,0.9772727272727273,0.4666657050262317,0.9016354325768453,0.7565007103865472,0.11022563596152246,0.23333285251311586,0.11109793730412347
34,0.5769230769230769,0.7403846153846154,0.9115384615384615,0.9619047619047619,0.15771808487503094,0.048947339681429725,0.20192307692307693,0.985,0.825,0.5454545454545454,0.9681818181818181,0.4406211915543625,0.7644887411521706,0.7540265628639636,0.12474396279564592,0.22031059577718126,0.09896979247012531
35,0.5365384615384615,0.7,0.9711538461538461,0.98,0.19279494334111372,0.04806234731440411,0.19230769230769232,0.9975,0.825,0.42727272727272725,1.0,0.5055451232015196,1.0249210333225578,0.7776592729806002,0.1371728934605313,0.2527725616007598,0.12377607109436106
